Year,Competition,Position,Team,Games Played,Won,Lost,Draw,Scored,Conceded,Points,Comments
2018/19,Campeonato Regional Brava,5,Académica,10.0,2.0,0.0,8.0,9.0,32.0,6,
2018/19,Campeonato Regional Brava,6,Coroa,10.0,0.0,0.0,10.0,3.0,45.0,0,
2017/18,Campeonato Regional Brava,1,Morabeza,12.0,10.0,1.0,1.0,33.0,8.0,31,champions
2017/18,Campeonato Regional Brava,2,Sporting,12.0,10.0,0.0,2.0,44.0,9.0,30,[C]
2017/18,Campeonato Regional Brava,3,Juventude,12.0,7.0,2.0,3.0,19.0,11.0,23,
2017/18,Campeonato Regional Brava,4,Benfica,12.0,5.0,2.0,5.0,24.0,32.0,17,
2017/18,Campeonato Regional Brava,5,Nô Pintcha,12.0,5.0,0.0,7.0,18.0,22.0,15,
2017/18,Campeonato Regional Brava,6,Coroa,12.0,0.0,3.0,9.0,10.0,32.0,3,
2017/18,Campeonato Regional Brava,7,Académica,12.0,0.0,2.0,10.0,9.0,43.0,2,
2016/17,Campeonato Regional Brava,1,Sporting,12.0,12.0,0.0,0.0,67.0,6.0,36,champions
2016/17,Campeonato Regional Brava,2,Morabeza,12.0,6.0,2.0,4.0,27.0,19.0,20,
2016/17,Campeonato Regional Brava,3,Académica,12.0,6.0,2.0,4.0,27.0,15.0,20,
2016/17,Campeonato Regional Brava,4,Nô Pintcha,12.0,6.0,1.0,5.0,16.0,13.0,19,
2016/17,Campeonato Regional Brava,5,Juventude,12.0,3.0,4.0,5.0,22.0,31.0,13,
2016/17,Campeonato Regional Brava,6,Coroa,12.0,3.0,1.0,8.0,27.0,57.0,10,
2016/17,Campeonato Regional Brava,7,Benfica,12.0,0.0,2.0,10.0,9.0,53.0,2,
2015/16,Campeonato Regional Brava,1,Sporting,12.0,11.0,1.0,0.0,63.0,6.0,34,champions [C]
2015/16,Campeonato Regional Brava,2,Juventude,12.0,9.0,1.0,2.0,56.0,10.0,28,
2015/16,Campeonato Regional Brava,3,Académica,12.0,7.0,3.0,2.0,40.0,13.0,24,
2015/16,Campeonato Regional Brava,4,Nô Pintcha,12.0,5.0,1.0,6.0,20.0,33.0,16,
2015/16,Campeonato Regional Brava,5,Coroa,12.0,4.0,1.0,7.0,17.0,36.0,13,
2015/16,Campeonato Regional Brava,6,Morabeza,12.0,1.0,1.0,10.0,12.0,50.0,4,
2015/16,Campeonato Regional Brava,7,Benfica,12.0,1.0,0.0,11.0,9.0,69.0,3,
2014/15,Campeonato Regional Brava,1,Sporting,12.0,8.0,4.0,0.0,34.0,4.0,28,champions [C]
2014/15,Campeonato Regional Brava,2,Juventude,12.0,8.0,3.0,1.0,39.0,10.0,27,
2014/15,Campeonato Regional Brava,3,Académica,12.0,6.0,3.0,3.0,19.0,15.0,21,
2014/15,Campeonato Regional Brava,4,Nô Pintcha,12.0,5.0,1.0,6.0,22.0,20.0,16,
2014/15,Campeonato Regional Brava,5,Morabeza,12.0,4.0,2.0,6.0,17.0,23.0,14,
2014/15,Campeonato Regional Brava,6,Benfica,12.0,2.0,2.0,8.0,12.0,38.0,8,
2014/15,Campeonato Regional Brava,7,Coroa,12.0,1.0,1.0,10.0,13.0,46.0,4,
2013/14,Campeonato Regional Brava,1,Sporting,12.0,10.0,2.0,0.0,39.0,11.0,32,champions
2013/14,Campeonato Regional Brava,2,Nô Pintcha,12.0,8.0,2.0,2.0,43.0,18.0,26,
2013/14,Campeonato Regional Brava,3,Juventude,12.0,6.0,4.0,2.0,37.0,18.0,22,[C] [CW]
2013/14,Campeonato Regional Brava,4,Morabeza,12.0,4.0,1.0,7.0,21.0,28.0,13,
2013/14,Campeonato Regional Brava,5,Académica,12.0,3.0,3.0,6.0,13.0,23.0,12,
2013/14,Campeonato Regional Brava,6,Coroa,12.0,1.0,5.0,6.0,7.0,22.0,8,
2013/14,Campeonato Regional Brava,7,Benfica,12.0,1.0,1.0,10.0,12.0,52.0,4,
2012/13,Campeonato Regional Brava,1,Sport Clube Juventude Portuária da Furna,12.0,10.0,1.0,1.0,38.0,14.0,31,Champions
2012/13,Campeonato Regional Brava,2,Morabeza,12.0,9.0,0.0,3.0,28.0,17.0,27,
2012/13,Campeonato Regional Brava,3,Sporting,12.0,6.0,3.0,3.0,25.0,18.0,21,
2012/13,Campeonato Regional Brava,4,Nô Pintcha,12.0,6.0,2.0,4.0,31.0,22.0,20,
2012/13,Campeonato Regional Brava,5,Benfica,12.0,5.0,1.0,6.0,27.0,31.0,16,
2012/13,Campeonato Regional Brava,6,Académica,12.0,1.0,2.0,9.0,17.0,36.0,5,[C]
2012/13,Campeonato Regional Brava,7,Coroa,12.0,0.0,1.0,11.0,15.0,43.0,1,
2011/12,Campeonato Regional Brava,1,Académica,12.0,9.0,2.0,1.0,39.0,13.0,29,champions
2011/12,Campeonato Regional Brava,2,Juventude,12.0,8.0,4.0,0.0,37.0,8.0,28,
2011/12,Campeonato Regional Brava,3,Morabeza,12.0,8.0,1.0,3.0,32.0,19.0,25,[C]
2011/12,Campeonato Regional Brava,4,Sporting,12.0,4.0,4.0,4.0,23.0,18.0,16,
2011/12,Campeonato Regional Brava,5,Coroa,12.0,3.0,2.0,7.0,20.0,39.0,11,
2011/12,Campeonato Regional Brava,6,Nô Pintcha,12.0,2.0,1.0,9.0,17.0,33.0,7,
2011/12,Campeonato Regional Brava,7,Benfica,12.0,1.0,0.0,11.0,14.0,52.0,3,
2008/09,Campeonato Regional Brava,1,Morabeza,10.0,7.0,2.0,1.0,27.0,7.0,23,champions
2008/09,Campeonato Regional Brava,2,Nô Pintcha,10.0,6.0,3.0,1.0,26.0,8.0,21,
2008/09,Campeonato Regional Brava,3,CD Corôa,8.0,4.0,1.0,3.0,12.0,9.0,13,
2008/09,Campeonato Regional Brava,4,Sporting,9.0,2.0,3.0,4.0,14.0,20.0,9,
2008/09,Campeonato Regional Brava,5,Académica,8.0,2.0,0.0,6.0,9.0,19.0,6,
2008/09,Campeonato Regional Brava,6,Benfica,9.0,1.0,1.0,7.0,4.0,29.0,4,
2007/08,Campeonato Regional Brava,1,Corôa,7.0,,,,,,21,Champions (first ever time)
2007/08,Campeonato Regional Brava,2,Morabeza,7.0,,,,,,11,
2007/08,Campeonato Regional Brava,3,Nô Pintcha,7.0,,,,,,11,
2007/08,Campeonato Regional Brava,4,Académica,7.0,,,,,,8,
2007/08,Campeonato Regional Brava,5,Benfica,7.0,,,,,,6,
2007/08,Campeonato Regional Brava,6,Sporting,7.0,,,,,,1,
2006/07,Campeonato Regional Brava,1,Morabeza,10.0,8.0,0.0,2.0,22.0,11.0,24,Champions
